Facility Id,Zip Code,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions 
1004382,75633,87974.044,81496.7,6431.75,45.594
1010251,75633,5203.88,4921.4,279.5,2.98
1007821,73016,37300.846,34736.2,2459.75,104.896
1008831,74502,31867.094,23581.5,8277.25,8.344
1013266,79772,103788.472,102028.7,1621.5,138.272
1011986,80611,38263.788,36652.1,1595,16.688
1004824,81641,138947.44,136037.3,2893.75,16.39
1004301,79735,9941.834,5974.2,3965.25,2.384
1004499,87413,331137.866,301486.9,29482,168.966
1010488,88220,34072.18,31309.3,2745,17.88
1007714,75792,12838.662,9492.5,3340.5,5.662
1003764,76431,184271.4617,182643.6594,1560.267525,67.53483202
1002174,84078,17699.49,15996.3,1694.25,8.94
1012794,73016,199999.818,195094,4796.75,109.068
1003475,71052,186800.436,178712.9,8040.75,46.786
1010750,79124,31809.142,5731.7,26076.25,1.192
1004593,74538,109309.4652,106943.0911,2326.72514,39.64898884
1011373,29702,27512.746,27389.5,107.75,15.496
1014320,29851,26246.002,25920.9,310.5,14.602
1011818,43771,207723.326,205371.5,2236.5,115.326
1008146,6235,49344.976,46428.3,2890.75,25.926
1013272,58838,29392.396,14153.1,15231.25,8.046
1008455,71325,89014.22,73491.5,15481,41.72
1013834,80612,48392.082,44782.8,3584.25,25.032
1012963,76437,51383.278,45706.4,5651.25,25.628
1005649,76033,52291.84,42668.5,9599.5,23.84
1012381,39213,69758.272,60275.3,9449,33.972
1013705,43410,58509.634,57188.2,1289.25,32.184
1008724,73009,21812.188,16404.7,5398.25,9.238
1013702,43917,36463.626,33091.4,3353.75,18.476
1013968,25045,43574.194,41322.2,2228.75,23.244
1014595,26764,25346.466,22485.7,2848.25,12.516
1005462,12078,16540.5,,16540.5,
1013696,94515,58745.68,,58735.25,10.43
1001093,24534,671608.074,666340.6,1926,3341.474
1007429,58576,8785254.23,8717895.2,24637.75,42721.28
1003035,28562,129028,,129028,
1007526,99801,43531.542,43381.8,44.25,105.492
1012981,67337,30442.236,30411,14.25,16.986
1004381,67337,958942.524,947218.5,9209.5,2514.524
1007829,35674,28898.924,28866,14.15,18.774
1001038,77960,2830160.39,2808005.2,8103,14052.19
1000483,77488,771748.24,770964.6,357.5,426.14
1013024,77488,2299151.48,2296817,1065,1269.48
1008019,80929,32525.45,479.2,32046.25,
1005378,19804,31146.932,31114.6,14.75,17.582
1001020,59323,10740663.5,10653537.5,31868.75,55257.246
1001186,53954,4440154.806,4416866.7,1162.5,22125.606
1000709,65205,2523.792,2521.6,1,1.192
1006999,29053,1237962.772,1236820,520.25,622.522
1005420,20657,1162550.41,1157249.9,4668.75,631.76
1013553,70645,2786253.556,2772370.4,12327,1556.156
1013941,25271,187076.048,186232.2,739.25,104.598
1013965,26148,142695.964,142111.6,504.5,79.864
1013321,26033,133537.756,131162.4,2301.75,73.606
1013320,16002,32279.232,31296.9,964.75,17.582
1004032,26228,114900.882,110668.6,4170,62.282
1011636,26351,38846.716,35581,3245.75,19.966
1004356,25530,27936.26,23681.6,4241.25,13.41
1004357,26812,109318.862,102864.3,6396.75,57.812
1012697,26884,59286.238,56193.4,3061.25,31.588
1013642,26456,111617.386,109669.2,1886.5,61.686
1013312,43779,58073.434,57168.5,872.75,32.184
1013927,22657,23387.314,22924,450.5,12.814
1013604,37013,75503.668,74877.9,583.75,42.018
1014515,71367,66416.604,65382.2,997.75,36.654
1013599,38485,68816.144,67720.5,1057.5,38.144
1013607,42166,94569.846,93988.6,528.5,52.746
1013589,41143,111906.232,111140.7,703.25,62.282
1013600,39040,66400.55,66096.8,266.5,37.25
1014347,70546,31398.784,30784,597.5,17.284
1014598,40322,29502.948,27282.5,2205.25,15.198
1013594,40351,112943.026,112615.1,264.75,63.176
1013603,38652,87068.972,86859.1,161,48.872
1013608,40461,81914.042,81464.4,403.75,45.892
1014517,71425,74349.224,73431.6,876.5,41.124
1014592,71254,26733.65,26567,151.75,14.9
1012685,71328,158435.168,154193.7,4154.75,86.718
1012920,43103,224420.008,223461.3,833.25,125.458
1003326,78013,79804.316,62169.7,17599.75,34.866
1002406,80747,16261.194,14947.6,1305.25,8.344
1003863,31907,102198.25,,102198.25,
1001204,15927,924607.368,922157.9,723.75,1725.718
1001462,81006,6057182.304,6025885.7,1601.5,29695.104
1001191,73501,145967.16,145819.2,67.5,80.46
1007538,23415,42674.106,42527.2,43.5,103.406
1006045,42351,179977.072,179791.3,84.75,101.022
1009764,84404,93473.748,93377.3,44,52.448
1006896,17847,29484.088,29453.4,14,16.688
1006445,95361,84915.68,84828,40,47.68
1013721,72802,43989.684,43944.2,20.75,24.734
1001086,53094,144752.152,144603,67.5,81.652
1000877,15944,5446609.494,5417511.1,1458,27640.394
1005789,0,504975.51,504204.6,422.25,348.66
1004422,0,297344.28,297037.4,140,166.88
1004998,0,331281.252,330939.3,156,185.952
1005001,0,71143.084,71070.2,33.25,39.634
1007575,77301,1073.75,,1073.75,
1010549,47620,55241.292,55184.3,26,30.992
1007193,26164,121687.992,121562.5,57.25,68.242
1012424,49404,45657.328,45610.2,21.5,25.628
1007962,85128,189000.796,188807.9,88,104.896
1007442,29445,59072.112,58998.7,30.5,42.912
1001092,29038,1347035.794,1342126.4,1854,3055.394
1000540,79915,44235.484,44190,20.75,24.734
1001354,61242,139086.336,138945.5,64.25,76.586
1007232,14853,146657.946,146506.4,69,82.546
1004570,70094,360951.052,360677.6,124.75,148.702
1005984,8360,35788.968,35752.8,16.5,19.668
1007103,85936,3543885.852,3515783.2,10476.25,17626.402
1001363,78407,1180323.448,1179109.1,551,663.348
1012506,78407,68630.682,67826.6,600.25,203.832
1002529,48441,61295.92,61232.9,28.75,34.27
1007805,94565,29323.24,29293.1,13.75,16.39
1006565,70721,353531.584,353198.4,152,181.184
1008999,98537,55902.006,50665.8,3426.75,1809.456
1000323,95638,382069.578,381680.7,177,211.878
1001779,0,90246.416,60844.5,29300,101.916
1013179,78359,3076772.526,3058188.7,16866.75,1717.076
1002265,82642,237628,232257.2,5303.75,67.05
1009181,71052,273953.218,269968.8,3927.5,56.918
1002623,77475,376239.362,368325.6,7736.75,177.012
1014368,79770,124732.53,111356.7,13313.25,62.58
1007535,48005,24134.524,19968.7,4154.5,11.324
1013365,26437,52147.998,40468.1,11657.25,22.648
1001291,55016,295482.252,295181.4,137.25,163.602
1007303,77614,2662559.332,2659855.5,1233.5,1470.332
1001603,71367,1569932.932,1568338.8,727.25,866.882
1012110,92703,30963.984,30932.2,14.5,17.284
1013729,76574,21172.12,21150.2,10,11.92
1001245,14304,312138.884,295876.8,6343.75,9918.334
1003200,95313,104520.032,99107.5,2109.5,3303.032
1004963,74107,125862.33,120703.2,2012.25,3146.88
1003439,78252,181610.25,0,181610.25,
1001406,49043,2832279.204,2829403.3,1312,1563.904
1004621,77523,52087.504,52033.8,24.5,29.204
1014627,79731,28650.992,28621.4,13.5,16.092
1014638,79745,28360.344,28331.3,13.25,15.794
1008180,98611,290587.702,,290550.75,36.952
1007420,58523,2550635.236,2531392.3,7037.75,12205.186
1001119,97818,1226841.004,1225595.4,568.25,677.354
1001008,81626,7958392.04,7896002.1,22821.5,39568.44
1007732,28562,7071.864,188.8,1543.5,5339.564
1001384,60417,16586.636,16569.1,8,9.536
1013598,12522,2046463.918,2044386.2,948,1129.718
1009669,31015,53266.75,,53266.75,
1013317,19720,35892.62,35761.7,44.5,86.42
1013071,15701,87380,,87380,
1001427,29468,7687273.958,7630957.4,20595,35721.558
1000152,38614,139361.384,139220,64.5,76.884
1010845,10520,25387.35,15.6,25371.75,
1004863,56401,7736.25,56,7680.25,
1014631,58757,55750.44,55692.9,26.25,31.29
1014632,59211,35923.464,35886.2,17,20.264
1014330,80202,20183.424,20162.6,9.5,11.324
1001487,34428,8780184.408,8726815.4,27697.5,25671.508
1000563,59218,82390.544,82306.7,38.25,45.594
1007382,35057,72246.75,,72246.75,
1007639,37050,7694050.024,7632585.4,22474.9,38989.724
1006939,8332,53699.4,53634.9,27.25,37.25
1007736,95503,15563.25,,15563.25,
1000755,88240,680980.876,680289.3,315.5,376.076
1000436,84645,1139006.08,1137849.8,527.5,628.78
1001472,32831,4457155.942,4429468.9,10230.5,17456.542
1010141,78741,82000.31378,106.9,,10152.86
1011456,29673,29123.188,29092.5,14,16.688
1001066,42350,2673614.866,2652266.9,7806.25,13541.716
1006862,71301,57619.884,57560.7,27,32.184
1009077,33178,235510.736,222289,5158.75,8062.986
1007754,49724,37331.25,16,37315.25,
1005062,35601,771756.8041,45504,21.5,25.628
1002033,29461,52707.852,52653.6,24.75,29.502
1004178,28312,47560.372,47511.6,22.25,26.522
1009221,29053,81678.792,81594.4,38.5,45.892
1003081,39520,50702.66,50650.6,23.75,28.31
1002585,57075,98183.38,98082,46.25,55.13
1003583,58040,64715.692,640.5,64074,1.192
1002961,79934,33048.276,33014.3,15.5,18.476
1006243,74401,62255.416,62191.3,29.25,34.866
1005907,46580,20882.806,20789.1,35,58.706
1002863,30721,147478.5,,147478.5,
1004057,13682,51158.448,110.4,51047.75,0.298
1006096,53718,27351.896,239.6,27104.25,8.046
1003247,42749,26298.804,26272.5,12,14.304
1000184,75165,32474.628,32441.2,15.25,18.178
1005264,3755,42669.318,42525.2,42.5,101.618
1003628,47558,32620.65,8.4,32612.25,
1002182,19943,8162.75,,8162.75,
1002010,19809,230874.25,,230874.25,
1004897,19720,19522.5,,19522.5,
1002183,19947,23660.5,,23660.5,
1003740,30805,266009.25,,266009.25,
1005214,47240,29001.588,8.3,28991.5,1.788
1005337,49707,80808.69,80437.4,79.25,292.04
1007878,53094,23420.78,709.8,22633.5,77.48
1004600,46360,4274.094,574.7,3661.25,38.144
1014396,88263,68514.796,67756.7,720.25,37.846
1007104,79730,12839.522,12701.1,134.25,4.172
1013634,80643,30147.438,29779.5,351.25,16.688
1008920,73663,47727.36,43122.5,4584,20.86
1008921,73016,50558.274,46379.8,4152.25,26.224
1006905,73762,90766.032,84446.4,6272.25,47.382
1011635,81630,8289.12,7318.4,966.25,4.47
1005858,79323,178660.946,107684.9,70930.75,45.296
1003272,71937,7830.924,6893.3,933.75,3.874
1006130,6416,64470.674,60097,4340,33.674
1003214,73620,16535.966,9207.9,7323,5.066
1006151,67035,31689.758,10362,21321.5,6.258
1004065,66217,120263.1,632.6,119630.5,
1001101,43512,75956.5,,75956.5,
1007724,60115,140946.29,1020.8,139924,1.49
1006447,93230,28674.792,28645.2,13.5,16.092
1005733,19512,138382.55,24.8,138357.75,
1004696,49829,40735.2,62.2,40673,
1006861,90222,24954.956,24929.2,11.75,14.006
1002177,56267,39793.948,39751.8,19.5,22.648
1007709,80018,27792.516,771,26971.75,49.766
1004796,80249,27240.492,27211.4,13,16.092
1005633,80516,5247.75,,5247.75,
1002610,52655,61972.5,31,61941.5,
1006281,48239,22718.236,22670.1,16.25,31.886
1006388,48217,881979.75,873427.5,6205.5,2346.75
1005834,75067,142618.306,107.7,142325.25,185.356
1008310,78071,702322.034,696757.5,3871,1693.534
1007651,96013,28279.442,28182.7,28.5,68.242
1007690,51360,18288.35,484.6,17803.75,
1001071,53923,83575.336,83489.3,39.25,46.786
1003544,25526,115754.598,379.3,115375,0.298
1006101,55102,43102.418,43044.6,23.25,34.568
1003548,84128,56702.75,,56702.75,
1004396,54457,278007.904,227535.6,49973.75,498.554
1005994,71822,449432.284,416982.2,27821.25,4628.834
1000961,42348,166645.812,152959.9,8428,5257.912
1005959,37660,11881.02,11819.1,12.75,49.17
1002820,93308,22828.064,22804.5,10.75,12.814
1000522,68142,31157.5,,31157.5,
1007835,68007,108997.756,2250.4,106636.5,110.856
1006663,44622,123078.388,122100.5,357.75,620.138
1002548,41008,166450.074,166124.8,232,93.274
1003694,42437,47136.25,,47136.25,
1003594,4861,241611.294,240773.2,308.25,529.844
1001741,7823,42441.63,42395.8,20.5,25.33
1009539,29556,32730.01,26588.9,6120.25,20.86
1008787,8401,37604.656,37565.2,18,21.456
1000282,42029,203827.032,203616.6,96,114.432
1000173,48054,220512.284,220288.7,102,121.584
1013875,48124,136347.936,136207.1,64.25,76.586
1001715,70068,101268.468,101163.8,47.75,56.918
1000473,52003,14317.4,30.9,14286.5,
1003297,27710,98023.22,97920.1,46.5,56.62
1005704,48060,14052.848,14038.6,6.5,7.748
1001720,43113,45910.674,45862.7,21.75,26.224
1002712,19803,44915.572,44867.8,21.25,26.522
1006917,4841,29001.306,28964.6,15.25,21.456
1003976,23836,14892.544,14877.2,7,8.344
1007966,8332,74651.312,74586.1,29.75,35.462
1003110,12601,40162.088,38595.2,611.5,955.388
1006100,63353,883762.856,7014.7,3.25,876744.906
1001147,30565,225156.882,224874.8,115.5,166.582
1013820,16142,24115.16,24090.5,11.25,13.41
1012694,37055,54204.596,54148.7,25.5,30.396
1005106,75182,66526.1,66457.6,31.25,37.25
1013247,75115,28242.77,28208.9,14.5,19.37
1001529,62703,1254105.654,1244238,3610.25,6257.404
1007374,48732,3325354.826,3308691.2,910.75,15752.876
1000833,27288,1599550.72,1597925.9,741.25,883.57
1007370,39552,6018791.67,5990970.8,10443,17377.87
1000758,12550,9847.212,9836.8,4.75,5.662
1001382,43143,227098.64,226811.5,121.75,165.39
1000303,23883,44271.744,44170.8,33,67.944
1010891,98944,36876.96,36838.6,17.5,20.86
1007571,28301,68938.54,68867.3,32.5,38.74
1002960,39272,61951.822,47114.3,14811,26.522
1002881,38281,43715.326,19731.8,23972.5,11.026
1013855,72455,30463.736,30432.5,14.25,16.986
1013117,31027,31178.69,29136.3,2026,16.39
1006081,41006,33508.932,14742.5,18726.5,39.932
1013363,78602,27155.548,27127.6,12.75,15.198
1014429,68066,27495.296,27466.8,13,15.496
1011710,21835,32983.022,32948.2,15.75,19.072
1006213,28458,42245.64,42201.8,20,23.84
1002637,28170,29994.088,29963.4,14,16.688
1002635,29166,38523.292,38471.3,21,30.992
1009167,2747,30047.868,30013.2,15,19.668
1007439,59711,254470.562,254203.1,120.25,147.212
1000990,82637,4159070.702,4126511.6,11908,20651.102
1006077,52728,789322.028,786649.8,836.25,1835.978
1010949,39328,1587902.016,1586289.8,735.5,876.716
1004204,27360,68374.25,,68374.25,
1013995,25632,50,,50,
1000448,50010,210.046,209.2,0.25,0.596
1007187,85705,728.748,728.2,0.25,0.298
1001295,54115,98939.982,98839.4,45.75,54.832
1001014,32713,98970.952,98816.4,58,96.552
1006695,48121,3016053.332,3014006.4,852.25,1194.682
1011663,39815,71561.75,,71561.75,
1006705,35601,1103112.512,1101992.4,511,609.112
1010661,35673,193264.25,,193264.25,
1006650,78724,84316.836,84230.8,39.25,46.786
1007501,76048,55142.744,55076.6,28,38.144
1013328,96929,116446.168,116048,117.75,280.418
1009821,24273,1001498,,1001498,
1005589,57026,338907.344,338563.2,157,187.144
1000825,77536,3825236.924,3821352.7,1772,2112.224
1014559,77536,3196502.938,3175946.6,13708,6848.338
1011516,62049,61957.5,,61957.5,
1001495,32653,474260.518,473485,323.75,451.768
1011204,32653,11649.452,757.1,1565.25,9327.102
1001755,43512,28679.592,28650,13.5,16.092
1007322,19706,3680307.136,3667359.5,4832.5,8115.136
1006038,19013,376628.39,357855.5,7320.75,11452.14
1006444,75702,530833.202,527360.6,1856.25,1616.352
1000794,72426,1217058.904,1215816.3,565.25,677.354
1000674,48209,28522.996,28494.5,13,15.496
1005211,30354,43551.908,43472.7,28.25,50.958
1001263,94565,1541891.192,1540272.4,738.5,880.292
1002789,70807,96841.436,96741.7,45.5,54.236
1013173,76207,189461.936,189266.3,89.25,106.386
1007700,80516,729.5,,729.5,
1001329,85222,598110.984,597503.8,277,330.184
1001306,89005,615233.02,614608.3,285,339.72
1010700,850,35029.388,34754.5,176.25,98.638
1014594,70079,40572.144,40529.9,19,23.244
1007936,79086,1277155.594,1270122.7,3307,3725.894
1000650,20842,77290.18,77185.6,42,62.58
1001294,2715,108416.848,108306.7,50.25,59.898
1009581,4106,25447.12877,6770.9,3.25,180.588
1013659,23952,97753.5,,97753.5,
1005947,77507,49634.164,49583.2,23.25,27.714
1001351,64080,735803.524,735056.6,340.75,406.174
1001940,99503,36714.876,31317.2,5371.75,25.926
1003769,2149,17496.036,17294,192.5,9.536
1007459,78344,0.2,0.2,,
1002235,70080,130745.492,130247,430.25,68.242
1002628,70373,163086.792,160911.7,2084.5,90.592
1013621,88240,76752.644,74535.2,2186.75,30.694
1006908,73742,6905.476,6596.9,305,3.576
1010634,79739,43250.4,42538.8,689.25,22.35
1012519,79730,40189.214,37508.2,2660.75,20.264
1013350,79770,27455.022,23337.9,4105.5,11.622
1013067,71232,90089.984,84022.9,6020,47.084
1013544,79718,229111.496,225753.2,3275.75,82.546
1008412,78014,38361.258,38210.6,129.5,21.158
1009054,79714,83635.61,81518.8,2088.5,28.31
1002377,82633,53515.914,50459.7,3028.5,27.714
1002580,40422,121490.67,114239.1,7187.5,64.07
1012969,76048,54221.966,35305,18897,19.966
1014089,77840,130493.708,117158.6,13269.25,65.858
1004995,71232,137303.6,132494.1,4735,74.5
1006109,15601,59428.1,52877.3,6521,29.8
1010664,37074,18294.044,14757.2,3528.5,8.344
1012141,43942,45306.94,42374.1,2909,23.84
1002040,77541,4363746.49,4236882.2,124076.5,2787.79
1010623,44230,24297.67,21234,3051.75,11.92
1003458,44718,22457.926,19755.4,2691.5,11.026
1012033,30107,17062.538,16247.3,806,9.238
1008526,73118,12770.752,12757.6,6,7.152
1000229,27962,162656.388,132993.2,23053.25,6609.938
1005706,15845,188077.638,187099.5,320.75,657.388
1000310,95054,306118.816,305808.1,141.75,168.966
1001259,23005,2265664.196,2263275.2,1069.75,1319.246
1003887,31705,107316.5,,107316.5,
1002166,48686,39572.804,39532.8,18.25,21.754
1005702,30656,90245.616,90154.1,41.75,49.766
1001689,86334,515353.25,514288,394.75,670.5
1010575,43821,1666117.572,1664424.8,772.25,920.522
1005652,97503,50117.5,0,50117.5,
1000562,82716,2613275.488,2592810.8,7485,12979.688
1006673,19711,27700.996,27672.5,13,15.496
1014615,47906,62449.964,62385.3,29.5,35.164
1001319,47928,327396.636,327064,151.75,180.886
1006024,55802,42832.668,42772.1,26,34.568
1003607,54848,30319.782,30287.7,14.5,17.582
1013630,85132,55138.5,,55138.5,
1008060,99685,28755.536,28657.4,29,69.136
1006389,33412,32418.75,,32418.75,
1005766,97054,196785.206,176347.8,32.75,20404.656
1012698,70094,909765.04,909570.5,88.75,105.79
1005648,93727,25627.31,25591.7,14.75,20.86
1001175,36067,2552764.04,2550172,1182.5,1409.54
1001414,35186,3494327.474,3475097.9,7149.25,12080.324
1001514,61607,2638439.734,2617774.3,7558.5,13106.934
1002962,68301,123665.536,123538.4,58,69.136
1000768,11558,840349.98,839436.9,403.5,509.58
1005905,7033,89235.164,89143.1,42,50.064
1007271,8648,37308.904,37269.4,17.75,21.754
1005565,93030,4910.432,4905.5,2.25,2.682
1001579,40330,1378691.96,1369401.6,3421.25,5869.11
1005844,81655,58801.75,,58801.75,
1003710,30107,121939,,121939,
1005795,63334,142871.25,,142871.25,
1007588,46517,37477.478,334.9,37072.25,70.328
1003101,27805,95345,,95345,
1005860,55051,26240.4,37.9,26202.5,
1004792,66032,39321.652,39281.1,18.5,22.052
1006818,19536,100056.996,99939.6,49.75,67.646
1002735,88260,10242.764,10232.9,4.5,5.364
1007018,35210,89355.5,,89355.5,
1005493,70791,437055.25,0,437055.25,
1002468,75119,31493.7,0.7,31493,
1007944,84520,9129.098,539.8,8589,0.298
1007539,90810,35667.316,35630.6,16.75,19.966
1013166,0,53331.17,4101.7,49225,4.47
1005453,624,1461727.618,1457165.2,3723.25,839.168
1010780,79755,177217.8656,155039.6581,22120.79146,57.41600562
1006730,71235,28039.218,21639.5,6387.5,12.218
1011948,71024,85468.484,82894.4,2564.25,9.834
1014701,71068,54498.984,48516.4,5972.75,9.834
1006407,75633,132925.828,128218.7,4644.25,62.878
1002326,79511,158218.52,146456.8,11682.75,78.97
1003277,72943,35624.14,28934.5,6673.25,16.39
1013910,34432,19648.432,17834.8,1803.5,10.132
1012929,31312,39668.002,39316.7,329.25,22.052
1014305,30833,21524.322,20909.2,603.5,11.622
1011007,30643,120854.65,119466.1,1321.5,67.05
1011897,78049,20912.284,17448.2,3454.25,9.834
1006232,84626,67699.706,65300.1,2363.25,36.356
1003574,70537,68775.656,64767.3,3972,36.356
1007392,48218,325617.848,325261.5,102.75,253.598
1001253,8859,12967.752,12954.6,6,7.152
1014336,27299,45787.164,45067.8,118,601.364
1006146,99702,415029.97,411864.7,1156.75,2008.52
1003993,71730,911786.542,809343.1,153.75,102289.692
1002830,77520,115954.78,,,115954.78
1007693,92883,102625.65,236.9,102388.75,
1002491,45232,8358.75,79,8279.75,
1002262,28150,85261.564,85183.7,35.25,42.614
1004345,47302,46061.334,46011.9,17.25,32.184
1013624,67030,89677.916,89559.8,46,72.116
1005640,28429,149925.54,149799.5,57.5,68.54
1007672,55330,28993.548,115.8,28832.75,44.998
1006989,49765,44820.6,36.1,44784.5,
1007332,46517,24499.75,,24499.75,
1001672,16101,40994.144,40951.4,19.5,23.244
1001673,16329,30584.35,30557.2,12.25,14.9
1001669,16101,43222.148,43181.5,18,22.648
1001911,77868,37723.408,37684.5,17.75,21.158
1003518,98625,65309.104,65241.7,30.75,36.654
1007212,53132,49306.15,29.4,49276.75,
1006236,30322,51408.592,51352.6,25,30.992
1000591,55404,94662.22,94560.1,45.5,56.62
1003978,94103,55188.592,55131.6,26,30.992
1001316,60064,37851.008,37812.1,17.75,21.158
1002788,73701,90803.15,30.9,90772.25,
1003141,47201,23271.612,23247.5,11,13.112
1004074,29651,66216.476,,66198,18.476
1011683,97355,25640.904,25614.6,12,14.304
1007589,61455,6670.048,827,5842.75,0.298
1003951,33619,85591.882,85526.2,25.75,39.932
1007701,60450,3141.55,2.3,3139.25,
1001622,89419,37282.96,37244.6,17.5,20.86
1001623,97918,32558.988,32528.3,14,16.688
1010333,0,1049.084,1045.7,1,2.384
1009803,0,29944.476,6425.9,23515,3.576
1001737,99734,579547.718,575388.1,3834.5,325.118
1010714,78118,34298.872,33984.3,295.5,19.072
1010746,78259,40612.7,40317.1,273.25,22.35
1011988,78117,25581.806,25160.8,407,14.006
1011210,78629,33017.628,32635.7,363.75,18.178
1011745,78159,35599.518,35240.1,339.75,19.668
1011989,78014,52560.554,52060.6,470.75,29.204
1009071,14125,30610.95,26333.8,4262.25,14.9
1013826,87002,14096.958,11172.7,2918,6.258
1013827,88267,22914.374,20118.8,2784.25,11.324
1002060,86436,45805.088,29756.4,16032,16.688
1002116,81137,57166.838,56436,699.25,31.588
1008460,79934,66612.232,57956.5,8623.25,32.482
1001981,79847,128491.354,118132.4,10292.5,66.454
1010558,79847,105078.006,104270.3,749,58.706
1001988,79978,64981.92,61103.9,3843.75,34.27
1001990,79761,38489.184,30712.9,7759,17.284
1008240,79323,47471.014,36309,11141.75,20.264
1008368,79789,47754.836,43599.9,4130.5,24.436
1012153,79735,220.85,1.1,219.75,
1011020,88044,37631.618,34767.2,2844.75,19.668
1001982,88240,34017.378,32369.2,1630,18.178
1009901,88030,78857.628,72030.1,6787,40.528
1009331,87413,15181.462,10095.8,5080,5.662
1013550,87323,25100.81,23858.9,1228.5,13.41
1010477,88045,58331.852,52526.6,5775.75,29.502
1013549,88318,35908.574,33585.8,2304,18.774
1002118,88263,54784.2,53088.4,1666,29.8
1013562,88201,25059.238,16253,8797,9.238
1011002,85739,1193.9,1.4,1192.5,
1011001,85643,6485.176,6153.6,328,3.576
1011379,86047,63130.272,60499.8,2596.5,33.972
1001986,86436,38334.816,35579.1,2735.75,19.966
1001997,85357,25845.368,21588.4,4244.75,12.218
1001996,86436,87237.034,70535.4,16662,39.634
1002117,86047,48021.14,42631.3,5366,23.84
1008239,85623,45013.834,44256.6,732.5,24.734
1002196,85354,34615.578,32492.9,2104.5,18.178
1007437,86046,88775.588,82712.6,6016.5,46.488
1011003,85643,51433.562,49696.3,1709.25,28.012
1002064,86515,92724.874,73367,19316.75,41.124
1012916,85632,29854.544,27939.5,1899.25,15.794
1010559,88220,22446.22,7559.5,14882.25,4.47
1013962,77015,25632.404,25606.1,12,14.304
1003622,41097,13354.05,2.3,13351.75,
1002758,77571,1217825.22,1209867,3856.25,4101.97
1006656,77507,26932.44,26916,7.5,8.94
1002927,52732,502001.372,496912.3,2686,2403.072
1000342,60450,318257.504,315370.4,1278.5,1608.604
1006120,77414,34988.868,34952.7,16.5,19.668
1004880,78410,1153517.772,1140241.2,8526.75,4749.822
1007164,37134,46337.392,46259,32.5,45.892
1004376,45750,183312.434,183295.6,7,9.834
1013164,54457,24695.656,24669.9,11.75,14.006
1008014,39183,206258.17,204346.3,1780.75,131.12
1007882,26050,213597.66,212679.7,614,303.96
1005037,1344,34902.442,34861.4,17.5,23.542
1004216,7105,366457.924,349065,6780.25,10612.674
1004500,35616,69547.388,69475.6,32.75,39.038
1004256,30153,88382,,88382,
1007987,15731,9962.048,181.5,9780.25,0.298
1003501,71601,170804.128,158195.8,8366,4242.328
1007723,43619,38208.54,2815.3,35391.75,1.49
1007041,36582,133606.496,133468.4,63,75.096
1005465,61547,75001.208,74934.9,30.25,36.058
1005340,37331,51092.008,51039.4,24,28.608
1000297,19013,24104.56,24079.9,11.25,13.41
1004833,47909,66211.3,66142.8,31.25,37.25
1000704,27406,34254.372,34219.3,16,19.072
1004596,70051,39099.552,39059,18.5,22.052
1007643,70805,6117360.83,6083298.1,19197,14865.73
1007542,77520,12611928.85,12539786.4,39296,32846.454
1003484,70807,89375.064,89283,42,50.064
1006801,70807,97855.996,97641.3,80,134.696
1006274,77580,89241.764,89149.7,42,50.064
1006068,60410,2675485.532,2661182.1,7335,6968.432
1010341,25049,21398.75,,21398.75,
1000254,26055,515179.276,514652.1,240.5,286.676
1001248,8093,127440.776,127314.4,55.75,70.626
1011681,81637,1124.6,2.3,161.25,961.05
1013695,99506,28719.176,28618.8,29.75,70.626
1001570,51301,3362.134,3358,1.75,2.384
1002779,70170,23196.312,23172.2,11,13.112
1001006,41100,3114385.736,3089432.1,9127.75,15825.886
1005502,61025,682738.788,623635.1,120.25,58983.438
1011464,80102,51976.25,,51976.25,
1000761,10009,1997802.318,1995710,940.25,1152.068
1009679,0,5369.582,3302.4,2064.5,2.682
1005779,70535,168643.98,167245.6,1306,92.38
1010118,77957,92972.598,90420.3,2514.75,37.548
1012675,79772,127002.038,123148.2,3785,68.838
1014565,70647,49725.666,48956,742.25,27.416
1013403,13339,22201.782,18202.9,3988.75,10.132
1012961,44615,21520.52,21146.6,362,11.92
1011173,16823,27831.996,27516.5,300,15.496
1011881,17202,49919.136,43267.7,6627,24.436
1003443,15370,33263.586,29988.1,3258.5,16.986
1003537,43837,24171.114,22720.3,1438,12.814
1004160,43125,15394.198,14048.2,1338.25,7.748
1012971,26456,27823.796,27481.3,327,15.496
1003541,45036,37704.714,22648.9,15043,12.814
1011174,20175,22023.422,20543.8,1468,11.622
1012944,43942,29292.914,22649.6,6630.5,12.814
1003433,43830,11087.21,10609.5,471.75,5.96
1004319,15767,30172.79,29037.9,1118.5,16.39
1006332,43160,12867.052,12534.4,325.5,7.152
1003629,16923,31778.64,29339.5,2422.75,16.39
1003512,17729,43449.296,40856.6,2569.75,22.946
1003535,26419,58200.736,56172.6,1996.25,31.886
1003455,17764,120066.576,112619.9,7383.5,63.176
1003462,26378,34231.78,32108.9,2105,17.88
1003531,15626,43242.01,37500.9,5720.25,20.86
1005464,48197,38413.556,38374.1,18,21.456
1004330,21162,95671.7,65.7,95606,
1011676,95422,13889.25,,13889.25,
1007438,75602,2148910.122,2132088.1,13634.3164,3187.706
1000232,37662,3728686.624,3486874.1,233885.7243,7926.8
