Facility Id,Zip Code,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions 
1005753,58045,473350.736,414629.9,56856.25,1864.586
1006877,56560,312400.476,266214.4,45139.5,1046.576
1002552,74063,241505.994,36.6,241431.25,38.144
1000007,87004,16693.588,16676.6,7.75,9.238
1005175,73532,96069.888,95970.7,45.25,53.938
1007404,81637,75047.368,74970.1,35.25,42.018
1004845,87113,46102.876,46055.2,21.75,25.926
1005590,16701,111088.56,109595,981,512.56
1001860,70032,140597.52,140452.3,66.25,78.97
1006919,40216,160339.736,159458.6,327.75,553.386
1001962,70086,596881.73,595588.8,425.75,867.18
1005072,777,36979.004,36853.2,37,88.804
1008730,43420,1510774.752,1509240.9,699.75,834.102
1004746,98607,18988.73018,2173.1,1,2774.976
1006810,15061,35946.752,35919.9,12.25,14.602
1004508,43130,83887.484,83814.6,33.25,39.634
1007341,99577,171802.698,66.4,171736,0.298
1007839,96007,29973,,29973,
1005392,75901,108732.5,,108732.5,
1002263,71280,138350.162,100093.4,47.5,38209.262
1002576,13027,25630.898,25582.3,18.5,30.098
1006111,43229,34823.134,34769.2,21.75,32.184
1002867,91406,32789.542,32727.1,24,38.442
1003352,80524,40062.646,40020.7,19,22.946
1003176,23185,34176.82,34141.2,16.25,19.37
1003224,77029,41103.8,41041.3,25.25,37.25
1002915,3054,14890.358,14867.4,9.25,13.708
1006147,32218,55669.492,55591.1,32.5,45.892
1006904,30120,19426.796,19378.9,17.5,30.396
1003525,7114,23836.13,23805,13.25,17.88
1005490,87401,0,0,,
1006178,48108,21436.5,,21436.5,
1007710,93551,58294.25,112,58182.25,
1004003,85219,29789.5,,29789.5,
1001908,85630,462939.672,27224.4,12.75,435702.522
1006777,43903,627143.448,87.9,627055.25,0.298
1004352,89165,79221.752,312.8,78797.5,111.452
1000793,25502,42061.592,42018.3,19.75,23.542
1002596,54911,28461.892,28432.3,13.5,16.092
1001423,85245,63795.312,63730.1,29.75,35.462
1001422,85043,1052152.64,1051081.3,488.75,582.59
1005906,72401,36572.232,36539.9,14.75,17.582
1008034,48167,191683.1,150.6,191532.5,
1005385,44875,63133.712,63068.5,29.75,35.462
1002916,68601,1163382.686,1150058.3,7965.75,5358.636
1001945,56258,170379.31,169733,543.5,102.81
1003215,46041,48791.116,48740.7,23,27.416
1005935,68507,153579.564,152500,396.25,683.314
1005940,58790,41737.992,41694.7,19.75,23.542
1004649,47905,38859.304,38819.3,18.25,21.754
1002795,37701,203730.884,203521,95.75,114.134
1003456,15301,24628.32,96.9,24445,86.42
1006659,35040,902389.638,898651,1405,2333.638
1007566,25401,937470.27,934718,1004.5,1747.77
1006199,85281,61764.468,61700.9,29,34.568
1006203,67901,103713.76,103606.9,48.75,58.11
1002209,72501,438969.084,438276,236.25,456.834
1005801,72112,56498.196,56469.7,13,15.496
1006644,77701,54183.896,54128,25.5,30.396
1006797,77507,89531.164,89439.1,42,50.064
1005721,42029,338828.4875,61768.4,29,34.568
1013817,77630,210148.208,209931.2,99,118.008
1006785,16023,214892,213998.8,327,566.2
1003208,17547,71853.88,71779.9,33.75,40.23
1002968,32505,25162.856,25137.1,11.75,14.006
1002494,79108,10896.708,10885.2,5.25,6.258
1002486,85135,494.048,493.5,0.25,0.298
1002190,77512,531687.964,531417.8,123.25,146.914
1002665,66720,1398631.804,1396762.1,685.75,1183.954
1002421,76065,696149.328,694587.1,620.25,941.978
1002527,97905,680159.47,679086.2,405.75,667.52
1007552,68037,721231.572,720883.5,142.75,205.322
1002531,59634,342054.86,340682.7,502,870.16
1002537,98134,315155.07,314638.9,206.25,309.92
1007606,71836,727215.05,726513,262.5,439.55
1003496,63102,62826.064,62761.4,29.5,35.164
1004576,11105,2912919.394,2909466.1,1463.25,1990.044
1007800,77396,202608.75,,202608.75,
1006056,30683,70743.25,,70743.25,
1005442,53110,48195.568,48145.7,22.75,27.118
1006778,28110,58222.722,58161,27.75,33.972
1002571,84307,50124.202,50061,26.25,36.952
1007929,70052,732457.09,731701.1,344.75,411.24
1001858,8234,44219.6,131.1,44088.5,
1003826,23890,75908.148,1242.6,74665.25,0.298
1003034,13021,1919.398,324.6,1594.5,0.298
1005000,42420,47873.32,47824,22.5,26.82
1006344,24401,101620.9,35.9,101585,
1007346,78728,210780.592,210709.9,32.25,38.442
1006132,49464,85419.598,279.3,85140,0.298
1003033,13303,72326.798,110.5,72216,0.298
1003328,93204,25527.25,,25527.25,
1007682,91702,131279.25,181,131098.25,
1000378,85193,25403.404,25377.1,12,14.304
1012993,43215,26943.048,26915.1,12.75,15.198
1003205,24517,28847.292,28817.7,13.5,16.092
1010630,57401,36535.686,36493,18.25,24.436
1012891,79601,34689.75,,34689.75,
1007357,79601,200853.25,,200853.25,
1001347,70535,2044980.672,2042904.3,947.25,1129.122
1000125,39735,1616913.072,1615247.7,759.75,905.622
1011325,76205,20869.272,20847.9,9.75,11.622
1012051,75148,22389.216,22366.2,10.5,12.516
1003446,83714,98454.332,4.7,98402.25,47.382
1000603,70710,307353,307353,,
1000089,19137,157464.408,157302.2,74,88.208
1010185,46013,251256,,,
1006553,61523,125794.376,125664.5,59.25,70.626
1012089,95307,69710.178,69625.7,36.5,47.978
1002316,93252,58940.128,58879.3,27.75,33.078
1002156,93224,105344.404,105235.9,49.5,59.004
1006844,93251,222160.764,221931.7,104.5,124.564
1006845,93251,1409271.692,1407817.3,663.5,790.892
1003702,93252,12203.704,12191.1,5.75,6.854
1002315,93251,43476.936,43432,20.5,24.436
1006405,93210,177776.38,177592.8,83.75,99.83
1012480,93525,7054.324,7047.2,3.25,3.874
1005790,93251,132506.7,132369.7,62.5,74.5
1006914,93252,115681.364,115561.9,54.5,64.964
1005635,93252,21000.472,20979.1,9.75,11.622
1012475,93210,31373.832,31341.5,14.75,17.582
1006846,93450,243245.384,242994.4,114.5,136.484
1009944,93224,47421.972,47373.2,22.25,26.522
1006556,88044,365777.544,365406,169.5,202.044
1013891,57401,56645.336,56586.7,26.75,31.886
1002365,51054,72252.928,72178.4,34,40.528
1010699,84017,40247.95,39930.8,116,201.15
1012864,83338,30498.236,30467,14.25,16.986
1012857,54217,29937.588,29906.9,14,16.688
1013643,57248,49040.116,48989.7,23,27.416
1007206,85303,82528.992,82445.1,38,45.892
1000423,92324,7803.572,7795.9,3.5,4.172
1007273,54455,207897.83,196484.6,9994.75,1418.48
1011038,62568,15820.04,15803.6,7.5,8.94
1005991,54501,148758.138,148224.8,203.75,329.588
1004045,54115,52541.052,52486.8,24.75,29.502
1007253,98221,65848.3,65848.3,,
1006711,77507,483850,483850,,
1014562,89165,42286.2,42286.2,,
1013917,70734,237929,237929,,
1013205,77523,924549.2,924549.2,,
1014231,19706,326911.8,326911.8,,
1004442,78407,172959.4,172959.4,,
1006943,77506,421374.5,421374.5,,
1003160,77571,47329.792,47313.9,7.25,8.642
1006402,77640,2256843.388,2255676.6,457.25,709.538
1014323,94553,417324.8,417324.8,,
1014612,90504,939991.3,939991.3,,
1014324,94553,407842.7,407842.7,,
1011460,70079,937729.5,937729.5,,
1010506,70070,573345,573345,,
1010625,48217,403261.6,403261.6,,
1004586,70805,721750.1,721750.1,,
1005852,60410,100731.1,100731.1,,
1004725,18949,2214.24,,,
1010624,99553,44363.31,44194.1,51.5,117.71
1005138,27253,130863.25,,130863.25,
1007208,78266,737491.868,735484.6,736,1271.268
1010937,99503,30577.85,30472.1,31.25,74.5
1012844,31705,9764.758,1057,1251.5,7456.258
1003570,77507,109043.136,108930.2,51.25,61.686
1009825,10461,34558.22,34522.6,16.25,19.37
1012517,13662,291782.632,263209.4,23,27.416
1003448,76134,17599.484,17581.4,8.25,9.834
1003411,74522,18738,,18738,
